Hotel Name,Description Heading,Description,Price,Image URL,Location,Rating,Review Count
Super 8 by Wyndham Windsor/Dougall,Description heading not available,Description not available,CA $119,https://images.trvl-media.com/lodging/10000000/9600000/9593400/9593302/3685e0ef.jpg?impolicy=resizecrop&rw=455&ra=fit,Windsor,7.8 out of 10,(927 reviews)
TownePlace Suites by Marriott Windsor,Description heading not available,Description not available,CA $242,https://images.trvl-media.com/lodging/1000000/20000/13900/13858/3a25c74a.jpg?impolicy=resizecrop&rw=455&ra=fit,Windsor,9.2 out of 10,(585 reviews)
Super 8 by Wyndham Windsor/Dougall,Description heading not available,Description not available,CA $119,https://images.trvl-media.com/lodging/10000000/9600000/9593400/9593302/3685e0ef.jpg?impolicy=resizecrop&rw=455&ra=fit,Windsor,7.8 out of 10,(927 reviews)
Caesars Windsor,Description heading not available,Description not available,CA $242,Image URL not available,Windsor,8.4 out of 10,(1,984 reviews)
Residence & Conference Centre - Windsor,Description heading not available,Description not available,CA $135,Image URL not available,Windsor,7.8 out of 10,(245 reviews)
Motel 6 Windsor, ON,Description heading not available,Description not available,CA $100,Image URL not available,Windsor,7.2 out of 10,(462 reviews)
Super 8 by Wyndham Ambassador Bridge Windsor ON,Description heading not available,Description not available,CA $140,Image URL not available,Windsor,7.2 out of 10,(1,005 reviews)
Holiday Inn Express Windsor Waterfront, an IHG Hotel,Description heading not available,Description not available,CA $225,Image URL not available,Windsor,8.6 out of 10,(1,006 reviews)
Comfort Inn Windsor,Description heading not available,Description not available,CA $166,Image URL not available,Windsor,8.4 out of 10,(1,005 reviews)
DoubleTree by Hilton Windsor Hotel & Suites,Description heading not available,Description not available,CA $240,Image URL not available,Windsor,8.0 out of 10,(1,007 reviews)
Comfort Inn & Suites Ambassador Bridge,Description heading not available,Description not available,CA $152,Image URL not available,Windsor,7.8 out of 10,(1,014 reviews)
Quality Inn & Suites Downtown,Description heading not available,Description not available,CA $202,Image URL not available,Windsor,7.8 out of 10,(1,005 reviews)
TownePlace Suites by Marriott Windsor,Description heading not available,Description not available,CA $242,Image URL not available,Windsor,9.2 out of 10,(585 reviews)
Ye Olde Walkerville Bed & Breakfast,Description heading not available,Description not available,CA $114,https://images.trvl-media.com/lodging/12000000/11240000/11237700/11237693/22b6b7c6.jpg?impolicy=resizecrop&rw=455&ra=fit,Walkerville,9.4 out of 10,(272 reviews)
Lexington Inn & Suites Windsor,Description heading not available,Description not available,CA $93,https://images.trvl-media.com/lodging/1000000/470000/464000/463902/9b29a33c.jpg?impolicy=resizecrop&rw=455&ra=fit,Windsor,7.2 out of 10,(1,007 reviews)
Four Points by Sheraton Windsor Downtown,Description heading not available,Description not available,CA $244,https://images.trvl-media.com/lodging/1000000/30000/27100/27074/f24b27d6.jpg?impolicy=resizecrop&rw=455&ra=fit,Windsor,8.6 out of 10,(552 reviews)
Sandwich Boutique Hotel,Description heading not available,Description not available,CA $194,https://images.trvl-media.com/lodging/87000000/86620000/86612400/86612372/055a3943.jpg?impolicy=resizecrop&rw=455&ra=fit,Sandwich Towne,9.6 out of 10,(11 reviews)
The Grove Motel,CA $202,https://images.trvl-media.com/lodging/102000000/101770000/101765500/101765444/e7bc0038.jpg?impolicy=resizecrop&rw=455&ra=fit,37.45 km from address,10 out of 10,(11 reviews),Description heading not available,Description not available
The Woodbridge House,CA $210,https://images.trvl-media.com/lodging/11000000/10390000/10387400/10387337/5166df65.jpg?impolicy=resizecrop&rw=455&ra=fit,40.78 km from address,9.6 out of 10,(78 reviews),Description heading not available,Description not available
The Manhattan at Times Square Hotel,Description heading not available,Description not available,CA $293,https://images.trvl-media.com/lodging/1000000/10000/7500/7498/7369c5e3.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,5.6 out of 10,(4,305 reviews),(4,305 reviews)
Citadines Connect Fifth Avenue New York,Description heading not available,Description not available,CA $525,https://images.trvl-media.com/lodging/2000000/1350000/1348700/1348604/41f6f2b7.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,8.0 out of 10,(1,026 reviews),(1,026 reviews)
Pod Times Square,Description heading not available,Description not available,CA $379,https://images.trvl-media.com/lodging/20000000/19690000/19681400/19681371/858f7e77.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(4,234 reviews),(4,234 reviews)
The Wall Street Hotel,Description heading not available,Description not available,CA $789,https://images.trvl-media.com/lodging/56000000/55450000/55444900/55444869/37342c41.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.6 out of 10,(246 reviews),(246 reviews)
70 Park Avenue,Description heading not available,Description not available,CA $539,https://images.trvl-media.com/lodging/1000000/20000/18800/18752/b881e333.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,004 reviews),(1,004 reviews)
OYO Times Square,Description heading not available,Description not available,CA $494,https://images.trvl-media.com/lodging/1000000/10000/6700/6697/00af05d5.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,7.4 out of 10,(1,002 reviews),(1,002 reviews)
70 Park Avenue,Description heading not available,Description not available,CA $539,https://images.trvl-media.com/lodging/1000000/20000/18800/18752/b881e333.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,004 reviews),(1,004 reviews)
Park Terrace Hotel,Description heading not available,Description not available,CA $667,https://images.trvl-media.com/lodging/17000000/16900000/16890100/16890002/0eef15dc.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,9.4 out of 10,(1,336 reviews),(1,336 reviews)
Hotel Beacon,Description heading not available,Description not available,CA $765,https://images.trvl-media.com/lodging/8000000/7430000/7422500/7422476/351e6917.jpg?impolicy=resizecrop&rw=455&ra=fit,Upper West Side,9.2 out of 10,(1,025 reviews),(1,025 reviews)
Millennium Hilton New York One UN Plaza,Description heading not available,Description not available,CA $824,https://images.trvl-media.com/lodging/1000000/10000/1700/1639/9c1ff6ab.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.0 out of 10,(1,355 reviews),(1,355 reviews)
The Manhattan at Times Square Hotel,Description heading not available,Description not available,CA $293,https://images.trvl-media.com/lodging/1000000/10000/7500/7498/7369c5e3.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,5.6 out of 10,(4,305 reviews),(4,305 reviews)
Pod 51,Description heading not available,Description not available,CA $310,https://images.trvl-media.com/lodging/1000000/10000/5400/5358/d5a568a3.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.0 out of 10,(1,340 reviews),(1,340 reviews)
Mondrian Park Avenue,Description heading not available,Description not available,CA $937,https://images.trvl-media.com/lodging/18000000/17800000/17793500/17793410/887ae34c.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,7.4 out of 10,(1,009 reviews),(1,009 reviews)
The Pierre, A Taj Hotel, New York,Description heading not available,Description not available,CA $1,128,https://images.trvl-media.com/lodging/1000000/30000/20300/20213/19fee707.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.2 out of 10,(1,001 reviews),(1,001 reviews)
